Store ID,Location ID,Store Name,Store Address,Store Phone Number,Store Email
1,1,Vidhana Soudha Amul Store,"36-97 Vidhana Soudha, MG Road",9164645120,vidhanasoudhaamulstore@amul-stores.com
2,2,Jayanagar Amul Store,"65-70 Jayanagar, JP Nagar",9133405381,jayanagaramulstore@amul-stores.com
3,3,Koramangala Amul Store,"79-25 Koramangala, Ejipura",9138506231,koramangalaamulstore@amul-stores.com
4,4,Vidhana Soudha Amul Store,"62-7 Vidhana Soudha, MG Road",9132947373,vidhanasoudhaamulstore@amul-stores.com
5,5,Bellandur Amul Store,"73-53 Bellandur, Marathahalli",9120543230,bellanduramulstore@amul-stores.com
6,6,East Rohtas Nagar Amul Store,"0-79 East Rohtas Nagar, Maujpur",9136996085,eastrohtasnagaramul@amul-stores.com
7,7,Dilshad Garden Amul Store,"85-85 Dilshad Garden, G.T.B. Enclave",9115853282,dilshadgardenamulstore@amul-stores.com
8,8,Jhilmil Colony Amul Store,"59-82 Jhilmil Colony, Shahdara",9108684095,jhilmilcolonyamulstore@amul-stores.com
9,9,Kailash Nagar Amul Store,"66-97 Kailash Nagar, Krishna Nagar",9180580406,kailashnagaramulstore@amul-stores.com
10,10,Laxmi Nagar Amul Store,"68-77 Laxmi Nagar, Nirman Vihar",9147549667,laxminagaramulstore@amul-stores.com
11,11,Navrangpura Amul Store,"46-27 Navrangpura, Gujarat University",9100565385,navrangpuraamulstore@amul-stores.com
12,12,Paldi Amul Store,"47-28 Paldi, Usmanpura",9194334751,paldiamulstore@amul-stores.com
13,13,Sector 28 Amul Store,"98-99 Sector 28, Sector 29",9169811430,sector28amulstore@amul-stores.com
14,14,Kalupur Amul Store,"30-53 Kalupur, Gheekanta",9121099382,kalupuramulstore@amul-stores.com
15,15,Ambawadi Amul Store,"78-65 Ambawadi, Ellisbridge",9124450857,ambawadiamulstore@amul-stores.com
16,16,Tollygunge Amul Store,"37-61 Tollygunge, Lake Gardens",9182403535,tollygungeamulstore@amul-stores.com
17,17,Belgharia Amul Store,"85-15 Belgharia, Agarpara",9114900398,belghariaamulstore@amul-stores.com
18,18,Baguiati Amul Store,"80-39 Baguiati, Dum Dum Park",9126367579,baguiatiamulstore@amul-stores.com
19,19,Kalighat Amul Store,"96-11 Kalighat, Tollygunge Circular Road",9166127365,kalighatamulstore@amul-stores.com
20,20,Lake Gardens Amul Store,"17-27 Lake Gardens, Selimpur",9175643992,lakegardensamulstore@amul-stores.com
21,1,Vidhana Soudha Amul Store,"40-27 Vidhana Soudha, MG Road",9109057708,vidhanasoudhaamulstore@amul-stores.com
22,2,Jayanagar Amul Store,"8-78 Jayanagar, JP Nagar",9106139950,jayanagaramulstore@amul-stores.com
23,3,Koramangala Amul Store,"97-63 Koramangala, Ejipura",9125400702,koramangalaamulstore@amul-stores.com
24,4,Vidhana Soudha Amul Store,"31-55 Vidhana Soudha, MG Road",9121662137,vidhanasoudhaamulstore@amul-stores.com
25,5,Bellandur Amul Store,"34-32 Bellandur, Marathahalli",9192367330,bellanduramulstore@amul-stores.com
26,6,East Rohtas Nagar Amul Store,"5-1 East Rohtas Nagar, Maujpur",9100424540,eastrohtasnagaramul@amul-stores.com
27,7,Dilshad Garden Amul Store,"14-4 Dilshad Garden, G.T.B. Enclave",9100373540,dilshadgardenamulstore@amul-stores.com
28,8,Jhilmil Colony Amul Store,"50-28 Jhilmil Colony, Shahdara",9105821393,jhilmilcolonyamulstore@amul-stores.com
29,9,Kailash Nagar Amul Store,"40-77 Kailash Nagar, Krishna Nagar",9194666098,kailashnagaramulstore@amul-stores.com
30,10,Laxmi Nagar Amul Store,"92-53 Laxmi Nagar, Nirman Vihar",9163421340,laxminagaramulstore@amul-stores.com
31,11,Navrangpura Amul Store,"34-61 Navrangpura, Gujarat University",9195129035,navrangpuraamulstore@amul-stores.com
32,12,Paldi Amul Store,"64-18 Paldi, Usmanpura",9179100125,paldiamulstore@amul-stores.com
33,13,Sector 28 Amul Store,"76-18 Sector 28, Sector 29",9175100160,sector28amulstore@amul-stores.com
34,14,Kalupur Amul Store,"91-12 Kalupur, Gheekanta",9126328353,kalupuramulstore@amul-stores.com
35,15,Ambawadi Amul Store,"91-72 Ambawadi, Ellisbridge",9159298158,ambawadiamulstore@amul-stores.com
36,16,Tollygunge Amul Store,"4-60 Tollygunge, Lake Gardens",9107458579,tollygungeamulstore@amul-stores.com
37,17,Belgharia Amul Store,"72-32 Belgharia, Agarpara",9105439883,belghariaamulstore@amul-stores.com
38,18,Baguiati Amul Store,"98-83 Baguiati, Dum Dum Park",9125129405,baguiatiamulstore@amul-stores.com
39,19,Kalighat Amul Store,"13-60 Kalighat, Tollygunge Circular Road",9106499018,kalighatamulstore@amul-stores.com
40,20,Lake Gardens Amul Store,"72-44 Lake Gardens, Selimpur",9128332768,lakegardensamulstore@amul-stores.com
